         ps          /iirdf1_real_tb/dut/oIIR_TX    
          delta                                     
 2335051000  +1 00000000000000000001111001010100 
 2339217000  +1 00000000000000000010000010111101 
 2343383000  +1 00000000000000000010001100010011 
 2347549000  +1 00000000000000000010010101010110 
 2351715000  +1 00000000000000000010011110000110 
 2355881000  +1 00000000000000000010100110100100 
 2360047000  +1 00000000000000000010101110110001 
 2364213000  +1 00000000000000000010110110101100 
 2368379000  +1 00000000000000000010111110010110 
 2372545000  +1 00000000000000000011000101101111 
 2376711000  +1 00000000000000000011001100110111 
 2380877000  +1 00000000000000000011010011101110 
 2385043000  +1 00000000000000000011011010010101 
 2389209000  +1 00000000000000000011100000101101 
 2393375000  +1 00000000000000000011100110110101 
 2397541000  +1 00000000000000000011101100101101 
 2401707000  +1 00000000000000000011110010010110 
 2405873000  +1 00000000000000000011110111110000 
 2410039000  +1 00000000000000000011111100111011 
 2414205000  +1 00000000000000000100000001111000 
 2418371000  +1 00000000000000000100000110100111 
 2422537000  +1 00000000000000000100001011001000 
 2426703000  +1 00000000000000000100001111011100 
 2430869000  +1 00000000000000000100010011100011 
 2435035000  +1 00000000000000000100010111011101 
 2439201000  +1 00000000000000000100011011001010 
 2443367000  +1 00000000000000000100011110101010 
 2447533000  +1 00000000000000000100100001111110 
 2451699000  +1 00000000000000000100100101000110 
 2455865000  +1 00000000000000000100101000000011 
 2460031000  +1 00000000000000000100101010110100 
 2464197000  +1 00000000000000000100101101011001 
 2468363000  +1 00000000000000000100101111110011 
 2472529000  +1 00000000000000000100110010000011 
 2476695000  +1 00000000000000000100110100001001 
 2480861000  +1 00000000000000000100110110000101 
 2485027000  +1 00000000000000000100110111110111 
 2489193000  +1 00000000000000000100111001011111 
 2493359000  +1 00000000000000000100111010111101 
 2497525000  +1 00000000000000000100111100010010 
 2501691000  +1 00000000000000000100111101011110 
 2505857000  +1 00000000000000000100111110100001 
 2510023000  +1 00000000000000000100111111011011 
 2514189000  +1 00000000000000000101000000001101 
 2518355000  +1 00000000000000000101000000110110 
 2522521000  +1 00000000000000000101000001010111 
 2526687000  +1 00000000000000000101000001110000 
 2530853000  +1 00000000000000000101000010000010 
 2535019000  +1 00000000000000000101000010001100 
 2539185000  +1 00000000000000000101000010001111 
 2543351000  +1 00000000000000000101000010001011 
 2547517000  +1 00000000000000000101000010000000 
 2551683000  +1 00000000000000000101000001101110 
 2555849000  +1 00000000000000000101000001010110 
 2560015000  +1 00000000000000000101000000110111 
 2564181000  +1 00000000000000000101000000010010 
 2568347000  +1 00000000000000000100111111100111 
 2572513000  +1 00000000000000000100111110110111 
 2576679000  +1 00000000000000000100111110000010 
 2580845000  +1 00000000000000000100111101000111 
 2585011000  +1 00000000000000000100111100000111 
 2589177000  +1 00000000000000000100111011000010 
 2593343000  +1 00000000000000000100111001111001 
 2597509000  +1 00000000000000000100111000101100 
 2601675000  +1 00000000000000000100110111011011 
 2605841000  +1 00000000000000000100110110000110 
 2610007000  +1 00000000000000000100110100101100 
 2614173000  +1 00000000000000000100110011001110 
 2618339000  +1 00000000000000000100110001101101 
 2622505000  +1 00000000000000000100110000001000 
 2626671000  +1 00000000000000000100101110011111 
 2630837000  +1 00000000000000000100101100110011 
 2635003000  +1 00000000000000000100101011000100 
 2639169000  +1 00000000000000000100101001010010 
 2643335000  +1 00000000000000000100100111011101 
 2647501000  +1 00000000000000000100100101100101 
 2651667000  +1 00000000000000000100100011101010 
 2655833000  +1 00000000000000000100100001101100 
 2659999000  +1 00000000000000000100011111101100 
 2664165000  +1 00000000000000000100011101101001 
 2668331000  +1 00000000000000000100011011100100 
 2672497000  +1 00000000000000000100011001011101 
 2676663000  +1 00000000000000000100010111010100 
 2680829000  +1 00000000000000000100010101001001 
 2684995000  +1 00000000000000000100010010111100 
 2689161000  +1 00000000000000000100010000101101 
 2693327000  +1 00000000000000000100001110011100 
 2697493000  +1 00000000000000000100001100001001 
 2701659000  +1 00000000000000000100001001110100 
 2705825000  +1 00000000000000000100000111011101 
 2709991000  +1 00000000000000000100000101000100 
 2714157000  +1 00000000000000000100000010101010 
 2718323000  +1 00000000000000000100000000001111 
 2722489000  +1 00000000000000000011111101110011 
 2726655000  +1 00000000000000000011111011010110 
 2730821000  +1 00000000000000000011111000111000 
 2734987000  +1 00000000000000000011110110011001 
 2739153000  +1 00000000000000000011110011111010 
 2743319000  +1 00000000000000000011110001011010 
 2747485000  +1 00000000000000000011101110111010 
 2751651000  +1 00000000000000000011101100011010 
 2755817000  +1 00000000000000000011101001111001 
 2759983000  +1 00000000000000000011100111011000 
 2764149000  +1 00000000000000000011100100110110 
 2768315000  +1 00000000000000000011100010010100 
 2772481000  +1 00000000000000000011011111110010 
 2776647000  +1 00000000000000000011011101010000 
 2780813000  +1 00000000000000000011011010101110 
 2784979000  +1 00000000000000000011011000001100 
 2789145000  +1 00000000000000000011010101101010 
 2793311000  +1 00000000000000000011010011001000 
 2797477000  +1 00000000000000000011010000100110 
 2801643000  +1 00000000000000000011001110000101 
 2805809000  +1 00000000000000000011001011100100 
 2809975000  +1 00000000000000000011001001000100 
 2814141000  +1 00000000000000000011000110100100 
 2818307000  +1 00000000000000000011000100000101 
 2822473000  +1 00000000000000000011000001100111 
 2826639000  +1 00000000000000000010111111001001 
 2830805000  +1 00000000000000000010111100101100 
 2834971000  +1 00000000000000000010111010010000 
 2839137000  +1 00000000000000000010110111110101 
 2843303000  +1 00000000000000000010110101011011 
 2847469000  +1 00000000000000000010110011000010 
 2851635000  +1 00000000000000000010110000101001 
 2855801000  +1 00000000000000000010101110010001 
 2859967000  +1 00000000000000000010101011111010 
 2864133000  +1 00000000000000000010101001100100 
 2868299000  +1 00000000000000000010100111001111 
 2872465000  +1 00000000000000000010100100111011 
 2876631000  +1 00000000000000000010100010101000 
 2880797000  +1 00000000000000000010100000010111 
 2884963000  +1 00000000000000000010011110001000 
 2889129000  +1 00000000000000000010011011111011 
 2893295000  +1 00000000000000000010011001101111 
 2897461000  +1 00000000000000000010010111100100 
 2901627000  +1 00000000000000000010010101011010 
 2905793000  +1 00000000000000000010010011010001 
 2909959000  +1 00000000000000000010010001001001 
 2914125000  +1 00000000000000000010001111000011 
 2918291000  +1 00000000000000000010001100111110 
 2922457000  +1 00000000000000000010001010111010 
 2926623000  +1 00000000000000000010001000111000 
 2930789000  +1 00000000000000000010000110110111 
 2934955000  +1 00000000000000000010000100110111 
 2939121000  +1 00000000000000000010000010111000 
 2943287000  +1 00000000000000000010000000111010 
 2947453000  +1 00000000000000000001111110111101 
 2951619000  +1 00000000000000000001111101000001 
 2955785000  +1 00000000000000000001111011000110 
